3.488971949,1.084678173,0.008996248,0.006997585,0.010996342,0.007996321,2312422,1268827,61952,39452,40225,46380
3.575945377,1.059685946,0.010996342,0.005997896,0.006997108,0.009994268,2331314,1227590,61937,38659,40241,46734
25.77740431,8.295555115,0.01999259,0.01900816,0.025989771,0.020993233,9306561,5104338,134822,85555,80417,107015
85.22689056,26.87808061,0.03199029,0.02799201,0.027992249,0.032987833,20964590,11153825,212703,132393,120575,168676
,63.13591123,0.049979925,0.026991129,0.033988237,0.039987564,,20028527,291724,183908,160715,234432
,125.9826653,0.067972183,0.038985252,0.046984434,0.056973696,,31419934,374593,236637,200881,304796
,"['213.38588047027588', '44947093']","['0.07497596740722656', '458448']","['0.0659794807434082', '303503']","['0.056980133056640625', '240963']","['0.08096981048583984', '378868']",,,,,,
,,,,,,,,,,,
,"['338.70646142959595', '60786146']","['0.09196901321411133', '542708']","['0.05997824668884277', '333803']","['0.06397438049316406', '281137']","['0.09096956253051758', '445427']",,,,,,
